name,object_id,tract,patch,visit,ccd,filter,pointing,mjd,exptime,seeing,zeropt,maglimit
cid_1205,43158739083084985,9813,505,56864,66,N816,1500,57427.5331473616,900.0,0.81555754,31.32067,
cid_1205,43158739083084985,9813,505,56866,58,N816,1500,57427.543942776,900.0,0.6132175,31.319492,
cid_1205,43158739083084985,9813,505,56868,57,N816,1500,57427.5547362976,900.0,0.6369114,31.32237,
cid_1205,43158739083084985,9813,505,56870,65,N816,1500,57427.5655354643,900.0,0.67405057,31.31954,
cid_1205,43158739083084985,9813,505,145586,10,N816,2294,58221.23910562,900.0,1.0090011,31.387753,
cid_1205,43158739083084985,9813,505,145588,4,N816,2294,58221.24987684,900.0,0.9230297,31.452627,
cid_1205,43158739083084985,9813,505,145590,4,N816,2294,58221.2606482,900.0,0.7704527,31.44915,
cid_1205,43158739083084985,9813,505,145608,101,N816,2294,58221.34145182,900.0,0.7664735,31.480616,
cid_1205,43158739083084985,9813,505,163702,57,N816,2589,58516.38873158,900.0,1.1319569,31.297411,
cid_1205,43158739083084985,9813,505,163710,57,N816,2589,58516.42388888,900.0,1.1786478,31.273907,
cid_1205,43158739083084985,9813,505,163714,4,N816,2589,58516.46320912,900.0,0.9868315,31.472067,
cid_1205,43158739083084985,9813,505,163722,65,N816,2589,58516.58279291,900.0,0.7587299,31.314444,
cid_1205,43158739083084985,9813,505,163724,66,N816,2589,58516.59356657,900.0,0.8323313,31.309868,
cid_1205,43158739083084985,9813,505,164032,58,N816,2591,58518.31499956,900.0,0.9527746,31.303034,
cid_1205,43158739083084985,9813,505,164034,57,N816,2591,58518.3257863,900.0,0.7767925,31.31665,
cid_1205,43158739083084985,9813,505,164040,4,N816,2591,58518.35817299,900.0,0.8614055,31.435654,
cid_1205,43158739083084985,9813,505,164350,65,N816,2592,58519.30924658,900.0,0.6076273,31.323318,
cid_1205,43158739083084985,9813,505,164352,57,N816,2592,58519.32002123,900.0,0.649969,31.315805,
cid_1205,43158739083084985,9813,505,164354,58,N816,2592,58519.33079731,900.0,0.590796,31.323269,
cid_1205,43158739083084985,9813,505,171280,57,N816,2645,58572.2348841,900.0,1.1473832,31.260214,
cid_1205,43158739083084985,9813,505,171282,4,N816,2645,58572.2456601,900.0,1.1605356,31.397264,
cid_1205,43158739083084985,9813,505,172140,4,N816,2649,58576.22630798,900.0,0.60885763,31.465668,
cid_1205,43158739083084985,9813,505,172148,10,N816,2649,58576.26948587,900.0,0.5881383,31.452206,
cid_1205,43158739083084985,9813,505,23038,57,N921,1170,57097.2391047985,900.0,1.0959911,31.316723,
cid_1205,43158739083084985,9813,505,23040,65,N921,1170,57097.2499982701,900.0,0.93111587,31.376516,
cid_1205,43158739083084985,9813,505,23042,58,N921,1170,57097.2608986581,900.0,1.1119479,31.340778,
cid_1205,43158739083084985,9813,505,23044,57,N921,1170,57097.271730606,900.0,1.0635858,31.348448,
cid_1205,43158739083084985,9813,505,23046,57,N921,1170,57097.2826174558,900.0,0.97607666,31.365871,
cid_1205,43158739083084985,9813,505,23048,65,N921,1170,57097.2934147576,900.0,0.8579825,31.394695,
cid_1205,43158739083084985,9813,505,23050,66,N921,1170,57097.3042961415,900.0,0.86817884,31.4061,
cid_1205,43158739083084985,9813,505,23052,58,N921,1170,57097.3152159285,900.0,0.816566,31.382275,
cid_1205,43158739083084985,9813,505,23054,57,N921,1170,57097.3261186625,900.0,0.7794166,31.39005,
cid_1205,43158739083084985,9813,505,23056,65,N921,1170,57097.3369902568,900.0,0.57885414,31.411207,
cid_1205,43158739083084985,9813,505,23594,57,N921,1172,57099.2248146622,900.0,0.98790157,31.369333,
cid_1205,43158739083084985,9813,505,23596,66,N921,1172,57099.2356094993,900.0,0.9296035,31.410753,
cid_1205,43158739083084985,9813,505,23598,58,N921,1172,57099.2465547076,900.0,0.82316756,31.396275,
cid_1205,43158739083084985,9813,505,23600,57,N921,1172,57099.2573460001,900.0,0.8106745,31.411072,
cid_1205,43158739083084985,9813,505,23602,57,N921,1172,57099.268221247,900.0,0.7827398,31.410528,
cid_1205,43158739083084985,9813,505,23604,57,N921,1172,57099.2793274974,900.0,0.78050786,31.410448,
cid_1205,43158739083084985,9813,505,23606,65,N921,1172,57099.2901863563,900.0,0.7019707,31.434341,
cid_1205,43158739083084985,9813,505,24298,57,N921,1174,57101.2274189992,900.0,0.79076993,31.392286,
cid_1205,43158739083084985,9813,505,24300,57,N921,1174,57101.2386352262,900.0,0.6513322,31.400751,
cid_1205,43158739083084985,9813,505,24302,65,N921,1174,57101.2495132154,900.0,0.57184476,31.42536,
cid_1205,43158739083084985,9813,505,24304,57,N921,1174,57101.260386637,900.0,0.65067345,31.39788,
cid_1205,43158739083084985,9813,505,24306,66,N921,1174,57101.2713152901,900.0,0.65388626,31.433376,
cid_1205,43158739083084985,9813,505,24308,58,N921,1174,57101.2821202278,900.0,0.59516054,31.401432,
cid_1205,43158739083084985,9813,505,24310,57,N921,1174,57101.2929915748,900.0,0.52078485,31.411627,
cid_1205,43158739083084985,9813,505,24314,10,N921,1174,57101.3045293353,900.0,0.5626268,31.58171,
cid_1205,43158739083084985,9813,505,24910,4,N921,1176,57103.226081565,900.0,0.9215231,31.498823,
cid_1205,43158739083084985,9813,505,24912,4,N921,1176,57103.2369129253,900.0,0.86599535,31.500355,
cid_1205,43158739083084985,9813,505,24918,4,N921,1176,57103.2696596123,900.0,0.6678626,31.541407,
cid_1205,43158739083084985,9813,505,24920,4,N921,1176,57103.2804988869,900.0,0.65221775,31.519833,
cid_1205,43158739083084985,9813,505,24922,4,N921,1176,57103.2913844809,900.0,0.6321907,31.540916,
cid_1205,43158739083084985,9813,505,25810,66,N921,1179,57106.2887763833,900.0,0.64953077,31.423677,
cid_1205,43158739083084985,9813,505,25812,66,N921,1179,57106.2995941434,900.0,0.59001404,31.426947,
cid_1205,43158739083084985,9813,505,25814,58,N921,1179,57106.3104089066,900.0,0.69516885,31.409784,
